Starting log for run db2csv_no_beam_21_c20_all300
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0033_dev (4039)
	EXPECTED OUTPUT ====

		SELECT T1.degree_program_id,
		       T1.degree_summary_name
		FROM Degree_Programs AS T1
		JOIN Student_Enrolment AS T2 ON T1.degree_program_id = T2.degree_program_id
		GROUP BY T1.degree_program_id
		ORDER BY count(*) DESC
		LIMIT 1

	   degree_program_id degree_summary_name
	0                  9               Maste
	ACTUAL OUTPUT ====

		
		SELECT degree_program_id,
		       degree_summary_name
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM
		        (SELECT degree_program_id,
		                department_id,
		                degree_summary_name,
		                degree_summary_description,
		                other_details,
		                COUNT(*) OVER () AS n
		         FROM
		           (SELECT *
		            FROM `degree_programs` AS LHS
		            WHERE NOT EXISTS
		                (SELECT 1
		                 FROM `student_enrolment` AS RHS
		                 WHERE (LHS.other_details = RHS.other_details) )))
		      ORDER BY degree_summary_description DESC)
		   LIMIT 1)

	   degree_program_id degree_summary_name
	0                  4             Bachelo
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0039_dev (4040)
	EXPECTED OUTPUT ====

		SELECT DISTINCT T1.course_name
		FROM Courses AS T1
		JOIN Student_Enrolment_Courses AS T2 ON T1.course_id = T2.course_id

	  course_name
	0    70YfrMCM
	1    cGIdsH7q
	2          en
	3           l
	4          op
	5           p
	6          pl
	7     tW3Zpen
	ACTUAL OUTPUT ====

		
		SELECT course_name
		FROM
		  (SELECT *
		   FROM `courses` AS LHS
		   WHERE EXISTS
		       (SELECT 1
		        FROM `student_enrolment_courses` AS RHS
		        WHERE (LHS.course_id = RHS.course_id) ))
		ORDER BY course_name

	  course_name
	0    70YfrMCM
	1    cGIdsH7q
	2          en
	3           l
	4          op
	5           p
	6          pl
	7          pl
	8     tW3Zpen
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0029_dev (4041)
	EXPECTED OUTPUT ====

		SELECT DISTINCT T1.first_name,
		                T1.middle_name,
		                T1.last_name
		FROM Students AS T1
		JOIN Student_Enrolment AS T2 ON T1.student_id = T2.student_id
		JOIN Degree_Programs AS T3 ON T2.degree_program_id = T3.degree_program_id
		WHERE T3.degree_summary_name = 'Bachelor'

	       first_name   middle_name     last_name
	0            Deon          Judd        Kemmer
	1       DeonuMxi4          Anna       Schuppe
	2           Gregg        Violet       Schuppe
	3      GreggG0hBa         Cleve       Schuppe
	4      QsADeonNWj   lxJR Violet      BIRZtlCL
	5        Stanford    CleveabnRC        Kemmer
	6        Stanford    1VWAnnabJ3         emmer
	7   StanfordlxL7Z   VioletGZBzm   GoGSfRogahn
	8          Warren        QrbMOO        eic72t
	9          Warren  7OeViolettCS         emmer
	10        X42PCRD        Violet      h82r6Hu5
	11      Zg5oYDeon         iolet        Osinsk
	12    friGreggM(P        Violet  ImJaIT7INKD1
	13      p4owhI8PY           udd  JLaKemmerM8a
	14           regg     YeAi3Judd        e3VXj3
	15           rida         Cleve        chuppe
	16        tanford   Violet FjHq        Kemmer
	17        tanford       z4JaVZf       Osinski
	18    xsDFriday3f         Viole   RogahnHvkgG
	ACTUAL OUTPUT ====

		
		SELECT `first_name`,
		       `middle_name`,
		       `last_name`
		FROM
		  (SELECT *
		   FROM `students` AS `LHS`
		   WHERE EXISTS
		       (SELECT 1
		        FROM
		          (SELECT `LHS`.`student_enrolment_id` AS `student_enrolment_id`,
		                  `LHS`.`degree_program_id` AS `degree_program_id`,
		                  `LHS`.`semester_id` AS `semester_id`,
		                  `LHS`.`student_id` AS `student_id`,
		                  `LHS`.`other_details` AS `other_details`,
		                  `RHS`.`department_id` AS `department_id`,
		                  `RHS`.`degree_summary_name` AS `degree_summary_name`,
		                  `RHS`.`degree_summary_description` AS `degree_summary_description`,
		                  `RHS`.`other_details` AS `other_details_other`
		           FROM `student_enrolment` AS `LHS`
		           INNER JOIN
		             (SELECT *
		              FROM `degree_programs`
		              WHERE (`degree_summary_name` = 'Bachelor')) AS RHS ON (LHS.degree_program_id = RHS.degree_program_id)) AS RHS
		        WHERE (LHS.student_id = RHS.student_id) ))
		ORDER BY first_name

	       first_name   middle_name     last_name
	0            Deon          Judd        Kemmer
	1       DeonuMxi4          Anna       Schuppe
	2           Gregg        Violet       Schuppe
	3           Gregg        Violet       Schuppe
	4      GreggG0hBa         Cleve       Schuppe
	5      QsADeonNWj   lxJR Violet      BIRZtlCL
	6        Stanford    CleveabnRC        Kemmer
	7        Stanford    1VWAnnabJ3         emmer
	8   StanfordlxL7Z   VioletGZBzm   GoGSfRogahn
	9          Warren        QrbMOO        eic72t
	10         Warren  7OeViolettCS         emmer
	11        X42PCRD        Violet      h82r6Hu5
	12      Zg5oYDeon         iolet        Osinsk
	13    friGreggM(P        Violet  ImJaIT7INKD1
	14      p4owhI8PY           udd  JLaKemmerM8a
	15           regg     YeAi3Judd        e3VXj3
	16           rida         Cleve        chuppe
	17        tanford   Violet FjHq        Kemmer
	18        tanford       z4JaVZf       Osinski
	19    xsDFriday3f         Viole   RogahnHvkgG
Wrong output for base solution in instance db2csv/student_transcripts_tracking/0054_dev (4042)
	EXPECTED OUTPUT ====

		SELECT first_name
		FROM Students
		WHERE current_address_id != permanent_address_id

	   first_name
	0     Delaney
	1        Deon
	2       Frida
	3       Gregg
	4       Helga
	5      Hobart
	6      Jarvis
	7        Jett
	8       Jordy
	9       Orrin
	10       Reva
	11   Stanford
	12   Timmothy
	13     Warren
	ACTUAL OUTPUT ====

		
		SELECT first_name
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM `students`
		      ORDER BY ssn)
		   LIMIT 14)

	   first_name
	0     Delaney
	1        Deon
	2       Frida
	3       Gregg
	4       Helga
	5      Hobart
	6      Jarvis
	7        Jett
	8       Jordy
	9      Milton
	10      Orrin
	11       Reva
	12   Stanford
	13     Warren
No solution for instance db2csv/student_transcripts_tracking/0048_dev (4043)
Timeout while getting results...


Wrong output for base solution in instance db2csv/student_transcripts_tracking/0053_dev (4049)
	EXPECTED OUTPUT ====

		SELECT first_name
		FROM Students
		WHERE current_address_id != permanent_address_id

	   first_name
	0     Delaney
	1        Deon
	2       Frida
	3       Gregg
	4       Helga
	5      Hobart
	6      Jarvis
	7        Jett
	8       Jordy
	9       Orrin
	10       Reva
	11   Stanford
	12   Timmothy
	13     Warren
	ACTUAL OUTPUT ====

		
		SELECT first_name
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM `students`
		      ORDER BY ssn)
		   LIMIT 14)

	   first_name
	0     Delaney
	1        Deon
	2       Frida
	3       Gregg
	4       Helga
	5      Hobart
	6      Jarvis
	7        Jett
	8       Jordy
	9      Milton
	10      Orrin
	11       Reva
	12   Stanford
	13     Warren
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0078_dev (4050)
	EXPECTED OUTPUT ====

		select t1.first_name
		from students as t1
		join addresses as t2 on t1.permanent_address_id = t2.address_id
		where t2.country = 'haiti'
		  or t1.cell_mobile_number = '09700166582'

	Empty DataFrame
	Columns: [first_name]
	Index: []
	ACTUAL OUTPUT ====

		
		SELECT first_name
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM
		        (SELECT *
		         FROM
		           (SELECT LHS.student_id AS student_id,
		                   LHS.current_address_id AS current_address_id,
		                   LHS.permanent_address_id AS permanent_address_id,
		                   LHS.first_name AS first_name,
		                   LHS.middle_name AS middle_name,
		                   LHS.last_name AS last_name,
		                   LHS.cell_mobile_number AS cell_mobile_number,
		                   LHS.email_address AS email_address,
		                   LHS.ssn AS ssn,
		                   LHS.date_first_registered AS date_first_registered,
		                   LHS.date_left AS date_left,
		                   LHS.other_student_details AS other_student_details,
		                   RHS.address_id AS address_id,
		                   RHS.line_1 AS line_1,
		                   RHS.line_2 AS line_2,
		                   RHS.line_3 AS line_3,
		                   RHS.city AS city,
		                   RHS.zip_postcode AS zip_postcode,
		                   RHS.state_province_county AS state_province_county,
		                   RHS.country AS country,
		                   RHS.other_address_details AS other_address_details
		            FROM `students` AS LHS
		            CROSS JOIN `addresses` AS RHS)
		         WHERE (cell_mobile_number != 9700166582.0))
		      ORDER BY middle_name)
		   LIMIT 1)

	  first_name
	0     Warren
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0034_dev (4052)
	EXPECTED OUTPUT ====

		SELECT T1.degree_program_id,
		       T1.degree_summary_name
		FROM Degree_Programs AS T1
		JOIN Student_Enrolment AS T2 ON T1.degree_program_id = T2.degree_program_id
		GROUP BY T1.degree_program_id
		ORDER BY count(*) DESC
		LIMIT 1

	   degree_program_id degree_summary_name
	0                  9            Bachelor
	ACTUAL OUTPUT ====

		
		SELECT degree_program_id,
		       degree_summary_name
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM
		        (SELECT LHS.degree_program_id AS degree_program_id,
		                LHS.n AS n,
		                RHS.department_id AS department_id,
		                RHS.degree_summary_name AS degree_summary_name,
		                RHS.degree_summary_description AS degree_summary_description,
		                RHS.other_details AS other_details
		         FROM
		           (SELECT degree_program_id,
		                   COUNT() AS n
		            FROM `student_enrolment`
		            GROUP BY degree_program_id) AS LHS
		         INNER JOIN `degree_programs` AS RHS ON (LHS.degree_program_id = RHS.degree_program_id))
		      ORDER BY degree_summary_description DESC)
		   LIMIT 1)

	   degree_program_id degree_summary_name
	0        -9189224650              Master
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0061_dev (4054)
	EXPECTED OUTPUT ====

		SELECT count(*)
		FROM Transcripts

	   count(*)
	0        42
	ACTUAL OUTPUT ====

		
		SELECT n AS count___
		FROM
		  (SELECT COUNT() AS n
		   FROM
		     (SELECT transcript_date
		      FROM `transcripts` INTERSECT SELECT transcript_date
		      FROM `transcripts`))
		ORDER BY count___

	   count___
	0        22
Wrong output for ground truth in instance db2csv/student_transcripts_tracking/0064_dev (4055)
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0043_dev (4056)
	EXPECTED OUTPUT ====

		SELECT T1.last_name
		FROM Students AS T1
		JOIN Addresses AS T2 ON T1.current_address_id = T2.address_id
		WHERE T2.state_province_county = 'NorthCarolina'
		EXCEPT
		SELECT DISTINCT T3.last_name
		FROM Students AS T3
		JOIN Student_Enrolment AS T4 ON T3.student_id = T4.student_id

	         last_name
	0              Moh
	1        ez9OyY3Lp
	2  qYfm0Balistreri
	ACTUAL OUTPUT ====

		
		SELECT `last_name`
		FROM
		  (SELECT *
		   FROM
		     (SELECT `student_id`,
		             `current_address_id`,
		             `permanent_address_id`,
		             `first_name`,
		             `middle_name`,
		             `last_name`,
		             `cell_mobile_number`,
		             `email_address`,
		             `ssn`,
		             `date_first_registered`,
		             `date_left`,
		             `other_student_details`,
		             `line_1`,
		             `line_2`,
		             `line_3`,
		             `city`,
		             `zip_postcode`,
		             `state_province_county`,
		             `country`,
		             `other_address_details`,
		             `current_address_id` AS `address_id`
		      FROM
		        (SELECT `LHS`.`student_id` AS `student_id`,
		                `LHS`.`current_address_id` AS `current_address_id`,
		                `LHS`.`permanent_address_id` AS `permanent_address_id`,
		                `LHS`.`first_name` AS `first_name`,
		                `LHS`.`middle_name` AS `middle_name`,
		                `LHS`.`last_name` AS `last_name`,
		                `LHS`.`cell_mobile_number` AS `cell_mobile_number`,
		                `LHS`.`email_address` AS `email_address`,
		                `LHS`.`ssn` AS `ssn`,
		                `LHS`.`date_first_registered` AS `date_first_registered`,
		                `LHS`.`date_left` AS `date_left`,
		                `LHS`.`other_student_details` AS `other_student_details`,
		                `RHS`.`line_1` AS `line_1`,
		                `RHS`.`line_2` AS `line_2`,
		                `RHS`.`line_3` AS `line_3`,
		                `RHS`.`city` AS `city`,
		                `RHS`.`zip_postcode` AS `zip_postcode`,
		                `RHS`.`state_province_county` AS `state_province_county`,
		                `RHS`.`country` AS `country`,
		                `RHS`.`other_address_details` AS `other_address_details`
		         FROM `students` AS `LHS`
		         INNER JOIN
		           (SELECT *
		            FROM `addresses`
		            WHERE (`state_province_county` = 'NorthCarolina')) AS RHS ON (LHS.current_address_id = RHS.address_id))) AS LHS
		   WHERE NOT EXISTS
		       (SELECT 1
		        FROM `student_enrolment` AS RHS
		        WHERE (LHS.student_id = RHS.student_id) ))
		ORDER BY last_name

	         last_name
	0              Moh
	1             Mohr
	2        ez9OyY3Lp
	3  qYfm0Balistreri
Wrong output for ground truth in instance db2csv/student_transcripts_tracking/0042_dev (4058)
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0024_dev (4059)
	EXPECTED OUTPUT ====

		SELECT T1.semester_name,
		       T1.semester_id
		FROM Semesters AS T1
		JOIN Student_Enrolment AS T2 ON T1.semester_id = T2.semester_id
		GROUP BY T1.semester_id
		ORDER BY count(*) DESC
		LIMIT 1

	  semester_name  semester_id
	0   spring 2010           16
	ACTUAL OUTPUT ====

		
		SELECT semester_name,
		       semester_id
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM
		        (SELECT LHS.semester_id AS semester_id,
		                LHS.semester_name AS semester_name,
		                LHS.semester_description AS semester_description,
		                LHS.other_details AS other_details,
		                RHS.n AS n
		         FROM `semesters` AS LHS
		         INNER JOIN
		           (SELECT semester_id,
		                   COUNT() AS n
		            FROM `student_enrolment`
		            GROUP BY semester_id) AS RHS ON (LHS.semester_id = RHS.semester_id))
		      ORDER BY n DESC)
		   LIMIT 1)

	  semester_name  semester_id
	0   spring 2019            7
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0062_dev (4061)
	EXPECTED OUTPUT ====

		SELECT count(*)
		FROM Transcripts

	   count(*)
	0         9
	ACTUAL OUTPUT ====

		
		SELECT n AS count___
		FROM
		  (SELECT other_details,
		          COUNT() AS n
		   FROM `transcripts`
		   GROUP BY other_details)
		ORDER BY count___

	   count___
	0         1
	1         1
	2         1
	3         1
	4         1
	5         1
	6         1
	7         1
	8         1
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0077_dev (4062)
	EXPECTED OUTPUT ====

		select t1.first_name
		from students as t1
		join addresses as t2 on t1.permanent_address_id = t2.address_id
		where t2.country = 'haiti'
		  or t1.cell_mobile_number = '09700166582'

	Empty DataFrame
	Columns: [first_name]
	Index: []
	ACTUAL OUTPUT ====

		
		SELECT first_name
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM
		        (SELECT *
		         FROM
		           (SELECT LHS.student_id AS student_id,
		                   LHS.current_address_id AS current_address_id,
		                   LHS.permanent_address_id AS permanent_address_id,
		                   LHS.first_name AS first_name,
		                   LHS.middle_name AS middle_name,
		                   LHS.last_name AS last_name,
		                   LHS.cell_mobile_number AS cell_mobile_number,
		                   LHS.email_address AS email_address,
		                   LHS.ssn AS ssn,
		                   LHS.date_first_registered AS date_first_registered,
		                   LHS.date_left AS date_left,
		                   LHS.other_student_details AS other_student_details,
		                   RHS.address_id AS address_id,
		                   RHS.line_1 AS line_1,
		                   RHS.line_2 AS line_2,
		                   RHS.line_3 AS line_3,
		                   RHS.city AS city,
		                   RHS.zip_postcode AS zip_postcode,
		                   RHS.state_province_county AS state_province_county,
		                   RHS.country AS country,
		                   RHS.other_address_details AS other_address_details
		            FROM `students` AS LHS
		            CROSS JOIN `addresses` AS RHS)
		         WHERE (cell_mobile_number != 9700166582.0))
		      ORDER BY middle_name)
		   LIMIT 1)

	  first_name
	0     Warren
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0066_dev (4063)
	EXPECTED OUTPUT ====

		SELECT count(*),
		       student_course_id
		FROM Transcript_Contents
		GROUP BY student_course_id
		ORDER BY count(*) DESC
		LIMIT 1

	   count(*)  student_course_id
	0        25         9291578747
	ACTUAL OUTPUT ====

		
		SELECT n AS count___,
		       student_course_id
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM
		        (SELECT student_course_id,
		                COUNT() AS n
		         FROM `transcript_contents`
		         GROUP BY student_course_id)
		      ORDER BY n DESC)
		   LIMIT 1)

	   count___  student_course_id
	0        25         2649798260
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0049_dev (4064)
	EXPECTED OUTPUT ====

		SELECT first_name,
		       middle_name,
		       last_name
		FROM Students
		ORDER BY date_first_registered ASC
		LIMIT 1

	  first_name middle_name last_name
	0      Helga       ossie      Ward
	ACTUAL OUTPUT ====

		
		SELECT first_name,
		       middle_name,
		       last_name
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM `students`
		      ORDER BY date_left)
		   LIMIT 1)

	  first_name    middle_name last_name
	0       ordy  aoVXSBrooklyn    Kemmer
No solution for instance db2csv/student_transcripts_tracking/0026_dev (4065)
Wrong output for ground truth in instance db2csv/student_transcripts_tracking/0045_dev (4066)
Timeout while getting results...


Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0016_dev (4068)
	EXPECTED OUTPUT ====

		SELECT count(*)
		FROM Departments AS T1
		JOIN Degree_Programs AS T2 ON T1.department_id = T2.department_id
		WHERE T1.department_name = 'engineer'

	   count(*)
	0        10
	ACTUAL OUTPUT ====

		
		SELECT `n` AS `count___`
		FROM
		  (SELECT COUNT() AS `n`
		   FROM
		     (SELECT *
		      FROM `degree_programs` AS `LHS`
		      WHERE EXISTS
		          (SELECT 1
		           FROM
		             (SELECT *
		              FROM `departments`
		              WHERE (`department_name` != 'engineer')) AS RHS
		           WHERE (LHS.department_id = RHS.department_id
		                  AND LHS.other_details = RHS.other_details) )))
		ORDER BY count___

	   count___
	0         0
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0009_dev (4069)
	EXPECTED OUTPUT ====

		SELECT T2.department_name,
		       T1.department_id
		FROM Degree_Programs AS T1
		JOIN Departments AS T2 ON T1.department_id = T2.department_id
		GROUP BY T1.department_id
		ORDER BY count(*) DESC
		LIMIT 1

	  department_name  department_id
	0           drama             13
	ACTUAL OUTPUT ====

		
		SELECT department_name,
		       department_id
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM
		        (SELECT *
		         FROM `departments` AS LHS
		         WHERE EXISTS
		             (SELECT 1
		              FROM
		                (SELECT department_id,
		                        COUNT() AS n
		                 FROM `degree_programs`
		                 GROUP BY department_id) AS RHS
		              WHERE (LHS.department_id = RHS.department_id) ))
		      ORDER BY department_name DESC)
		   LIMIT 1)

	  department_name  department_id
	0  eE53seconomics             15
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0065_dev (4071)
	EXPECTED OUTPUT ====

		SELECT count(*),
		       student_course_id
		FROM Transcript_Contents
		GROUP BY student_course_id
		ORDER BY count(*) DESC
		LIMIT 1

	   count(*)  student_course_id
	0        25         9291578747
	ACTUAL OUTPUT ====

		
		SELECT n AS count___,
		       student_course_id
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM
		        (SELECT student_course_id,
		                COUNT() AS n
		         FROM `transcript_contents`
		         GROUP BY student_course_id)
		      ORDER BY n DESC)
		   LIMIT 1)

	   count___  student_course_id
	0        25         2649798260
No solution for instance db2csv/student_transcripts_tracking/0055_dev (4072)
Wrong output for ground truth in instance db2csv/student_transcripts_tracking/0046_dev (4073)
No solution for instance db2csv/student_transcripts_tracking/0057_dev (4074)
Wrong output for ground truth in instance db2csv/student_transcripts_tracking/0008_dev (4076)
Wrong output for ground truth in instance db2csv/student_transcripts_tracking/0041_dev (4077)
No solution for instance db2csv/student_transcripts_tracking/0052_dev (4081)
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0075_dev (4082)
	EXPECTED OUTPUT ====

		SELECT section_description
		FROM Sections
		WHERE section_name = 'h'

	  section_description
	0                  et
	1                  qu
	2            voluptas
	3            voluptas
	ACTUAL OUTPUT ====

		
		SELECT `section_description`
		FROM
		  (SELECT `section_description`
		   FROM `sections` INTERSECT SELECT `section_description`
		   FROM `sections`
		   WHERE (`section_name` = 'h'))
		ORDER BY section_description

	  section_description
	0                  et
	1                  qu
	2            voluptas
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0040_dev (4083)
	EXPECTED OUTPUT ====

		SELECT DISTINCT T1.course_name
		FROM Courses AS T1
		JOIN Student_Enrolment_Courses AS T2 ON T1.course_id = T2.course_id

	  course_name
	0    70YfrMCM
	1    cGIdsH7q
	2          en
	3           l
	4          op
	5           p
	6          pl
	7     tW3Zpen
	ACTUAL OUTPUT ====

		
		SELECT course_name
		FROM
		  (SELECT *
		   FROM `courses` AS LHS
		   WHERE EXISTS
		       (SELECT 1
		        FROM `student_enrolment_courses` AS RHS
		        WHERE (LHS.course_id = RHS.course_id) ))
		ORDER BY course_name

	  course_name
	0    70YfrMCM
	1    cGIdsH7q
	2          en
	3           l
	4          op
	5           p
	6          pl
	7          pl
	8     tW3Zpen
Error while executing solution for instance db2csv/student_transcripts_tracking/0071_dev (4084)

(sqlite3.OperationalError) DISTINCT is not supported for window functions
[SQL: 
SELECT DISTINCT COUNT(DISTINCT current_address_id) OVER () AS count_distinct_current_address_id_
FROM `students`
ORDER BY count_distinct_current_address_id_]
(Background on this error at: http://sqlalche.me/e/13/e3q8)
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0069_dev (4085)
	EXPECTED OUTPUT ====

		SELECT DISTINCT T2.semester_id
		FROM Degree_Programs AS T1
		JOIN Student_Enrolment AS T2 ON T1.degree_program_id = T2.degree_program_id
		WHERE degree_summary_name = 'Master' INTERSECT
		  SELECT DISTINCT T2.semester_id
		  FROM Degree_Programs AS T1
		  JOIN Student_Enrolment AS T2 ON T1.degree_program_id = T2.degree_program_id WHERE degree_summary_name = 'Bachelor'

	Empty DataFrame
	Columns: [semester_id]
	Index: []
	ACTUAL OUTPUT ====

		
		SELECT `department_id` AS `semester_id`
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM `degree_programs`
		      WHERE (`degree_summary_name` = 'Master')) AS `LHS`
		   WHERE NOT EXISTS
		       (SELECT 1
		        FROM `student_enrolment` AS `RHS`
		        WHERE (`LHS`.`degree_program_id` = `RHS`.`degree_program_id`) ))
		WHERE (`degree_summary_name` != 'Bachelor')
		ORDER BY semester_id

	   semester_id
	0            7
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0004_dev (4086)
	EXPECTED OUTPUT ====

		SELECT count(*)
		FROM Courses

	   count(*)
	0        11
	ACTUAL OUTPUT ====

		
		SELECT n AS count___
		FROM
		  (SELECT other_details,
		          COUNT() AS n
		   FROM `courses`
		   GROUP BY other_details)
		ORDER BY count___

	    count___
	0          1
	1          1
	2          1
	3          1
	4          1
	5          1
	6          1
	7          1
	8          1
	9          1
	10         1
Wrong output for ground truth in instance db2csv/student_transcripts_tracking/0068_dev (4087)
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0030_dev (4089)
	EXPECTED OUTPUT ====

		SELECT DISTINCT T1.first_name,
		                T1.middle_name,
		                T1.last_name
		FROM Students AS T1
		JOIN Student_Enrolment AS T2 ON T1.student_id = T2.student_id
		JOIN Degree_Programs AS T3 ON T2.degree_program_id = T3.degree_program_id
		WHERE T3.degree_summary_name = 'Bachelor'

	       first_name   middle_name     last_name
	0            Deon          Judd        Kemmer
	1       DeonuMxi4          Anna       Schuppe
	2           Gregg        Violet       Schuppe
	3      GreggG0hBa         Cleve       Schuppe
	4      QsADeonNWj   lxJR Violet      BIRZtlCL
	5        Stanford    CleveabnRC        Kemmer
	6        Stanford    1VWAnnabJ3         emmer
	7   StanfordlxL7Z   VioletGZBzm   GoGSfRogahn
	8          Warren        QrbMOO        eic72t
	9          Warren  7OeViolettCS         emmer
	10        X42PCRD        Violet      h82r6Hu5
	11      Zg5oYDeon         iolet        Osinsk
	12    friGreggM(P        Violet  ImJaIT7INKD1
	13      p4owhI8PY           udd  JLaKemmerM8a
	14           regg     YeAi3Judd        e3VXj3
	15           rida         Cleve        chuppe
	16        tanford   Violet FjHq        Kemmer
	17        tanford       z4JaVZf       Osinski
	18    xsDFriday3f         Viole   RogahnHvkgG
	ACTUAL OUTPUT ====

		
		SELECT `first_name`,
		       `middle_name`,
		       `last_name`
		FROM
		  (SELECT *
		   FROM `students` AS `LHS`
		   WHERE EXISTS
		       (SELECT 1
		        FROM
		          (SELECT `LHS`.`student_enrolment_id` AS `student_enrolment_id`,
		                  `LHS`.`degree_program_id` AS `degree_program_id`,
		                  `LHS`.`semester_id` AS `semester_id`,
		                  `LHS`.`student_id` AS `student_id`,
		                  `LHS`.`other_details` AS `other_details`,
		                  `RHS`.`department_id` AS `department_id`,
		                  `RHS`.`degree_summary_name` AS `degree_summary_name`,
		                  `RHS`.`degree_summary_description` AS `degree_summary_description`,
		                  `RHS`.`other_details` AS `other_details_other`
		           FROM `student_enrolment` AS `LHS`
		           INNER JOIN
		             (SELECT *
		              FROM `degree_programs`
		              WHERE (`degree_summary_name` = 'Bachelor')) AS RHS ON (LHS.degree_program_id = RHS.degree_program_id)) AS RHS
		        WHERE (LHS.student_id = RHS.student_id) ))
		ORDER BY first_name

	       first_name   middle_name     last_name
	0            Deon          Judd        Kemmer
	1       DeonuMxi4          Anna       Schuppe
	2           Gregg        Violet       Schuppe
	3           Gregg        Violet       Schuppe
	4      GreggG0hBa         Cleve       Schuppe
	5      QsADeonNWj   lxJR Violet      BIRZtlCL
	6        Stanford    CleveabnRC        Kemmer
	7        Stanford    1VWAnnabJ3         emmer
	8   StanfordlxL7Z   VioletGZBzm   GoGSfRogahn
	9          Warren        QrbMOO        eic72t
	10         Warren  7OeViolettCS         emmer
	11        X42PCRD        Violet      h82r6Hu5
	12      Zg5oYDeon         iolet        Osinsk
	13    friGreggM(P        Violet  ImJaIT7INKD1
	14      p4owhI8PY           udd  JLaKemmerM8a
	15           regg     YeAi3Judd        e3VXj3
	16           rida         Cleve        chuppe
	17        tanford   Violet FjHq        Kemmer
	18        tanford       z4JaVZf       Osinski
	19    xsDFriday3f         Viole   RogahnHvkgG
Wrong output for ground truth in instance db2csv/student_transcripts_tracking/0059_dev (4091)
No solution for instance db2csv/student_transcripts_tracking/0051_dev (4092)
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0031_dev (4096)
	EXPECTED OUTPUT ====

		SELECT T1.degree_summary_name
		FROM Degree_Programs AS T1
		JOIN Student_Enrolment AS T2 ON T1.degree_program_id = T2.degree_program_id
		GROUP BY T1.degree_summary_name
		ORDER BY count(*) DESC
		LIMIT 1

	  degree_summary_name
	0              Master
	ACTUAL OUTPUT ====

		
		SELECT degree_summary_name
		FROM
		  (SELECT *
		   FROM
		     (SELECT *
		      FROM
		        (SELECT degree_program_id,
		                department_id,
		                degree_summary_name,
		                degree_summary_description,
		                other_details,
		                COUNT(*) OVER () AS n
		         FROM
		           (SELECT *
		            FROM `degree_programs` AS LHS
		            WHERE NOT EXISTS
		                (SELECT 1
		                 FROM `student_enrolment` AS RHS
		                 WHERE (LHS.degree_program_id = RHS.degree_program_id) )))
		      ORDER BY degree_summary_name)
		   LIMIT 1)

	  degree_summary_name
	0             Bachelo
Error while executing solution for instance db2csv/student_transcripts_tracking/0072_dev (4097)

(sqlite3.OperationalError) DISTINCT is not supported for window functions
[SQL: 
SELECT DISTINCT COUNT(DISTINCT current_address_id) OVER () AS count_distinct_current_address_id_
FROM `students`
ORDER BY count_distinct_current_address_id_]
(Background on this error at: http://sqlalche.me/e/13/e3q8)
Wrong output for ground truth in instance db2csv/student_transcripts_tracking/0007_dev (4098)
Wrong output for fuzzied solution in instance db2csv/student_transcripts_tracking/0015_dev (4099)
	EXPECTED OUTPUT ====

		SELECT count(*)
		FROM Departments AS T1
